YEAR,QUARTER,MONTH NAME,MONTH NUMBER,DATE,REGION,CHAPTER,STATE,FIELD OFFICE,REGION NUMBER
2026,Q4,December,12,12/1/2026,NORTHEAST,Northeast Other,NY,New York Office,4
2026,Q1,January,1,1/1/2026,NORTHEAST,Northeast Other,NJ,New Jersey Office,4
2026,Q1,February,2,2/1/2026,NORTHEAST,Northeast Other,NJ,New Jersey Office,4
2026,Q1,March,3,3/1/2026,NORTHEAST,Northeast Other,NJ,New Jersey Office,4
2026,Q2,April,4,4/1/2026,NORTHEAST,Northeast Other,NJ,New Jersey Office,4
2026,Q2,May,5,5/1/2026,NORTHEAST,Northeast Other,NJ,New Jersey Office,4
2026,Q2,June,6,6/1/2026,NORTHEAST,Northeast Other,NJ,New Jersey Office,4
2026,Q3,July,7,7/1/2026,NORTHEAST,Northeast Other,NJ,New Jersey Office,4
2026,Q3,August,8,8/1/2026,NORTHEAST,Northeast Other,NJ,New Jersey Office,4
2026,Q3,September,9,9/1/2026,NORTHEAST,Northeast Other,NJ,New Jersey Office,4
2026,Q4,October,10,10/1/2026,NORTHEAST,Northeast Other,NJ,New Jersey Office,4
2026,Q4,November,11,11/1/2026,NORTHEAST,Northeast Other,NJ,New Jersey Office,4
2026,Q4,December,12,12/1/2026,NORTHEAST,Northeast Other,NJ,New Jersey Office,4
2026,Q1,January,1,1/1/2026,NORTHEAST,Northeast Other,DE,Delaware-Statewide,4
2026,Q1,February,2,2/1/2026,NORTHEAST,Northeast Other,DE,Delaware-Statewide,4
2026,Q1,March,3,3/1/2026,NORTHEAST,Northeast Other,DE,Delaware-Statewide,4
2026,Q2,April,4,4/1/2026,NORTHEAST,Northeast Other,DE,Delaware-Statewide,4
2026,Q2,May,5,5/1/2026,NORTHEAST,Northeast Other,DE,Delaware-Statewide,4
2026,Q2,June,6,6/1/2026,NORTHEAST,Northeast Other,DE,Delaware-Statewide,4
2026,Q3,July,7,7/1/2026,NORTHEAST,Northeast Other,DE,Delaware-Statewide,4
2026,Q3,August,8,8/1/2026,NORTHEAST,Northeast Other,DE,Delaware-Statewide,4
2026,Q3,September,9,9/1/2026,NORTHEAST,Northeast Other,DE,Delaware-Statewide,4
2026,Q4,October,10,10/1/2026,NORTHEAST,Northeast Other,DE,Delaware-Statewide,4
2026,Q4,November,11,11/1/2026,NORTHEAST,Northeast Other,DE,Delaware-Statewide,4
2026,Q4,December,12,12/1/2026,NORTHEAST,Northeast Other,DE,Delaware-Statewide,4
2026,Q1,January,1,1/1/2026,NORTHEAST,Northeast Other,PA,Philadelphia Office,4
2026,Q1,February,2,2/1/2026,NORTHEAST,Northeast Other,PA,Philadelphia Office,4
2026,Q1,March,3,3/1/2026,NORTHEAST,Northeast Other,PA,Philadelphia Office,4
2026,Q2,April,4,4/1/2026,NORTHEAST,Northeast Other,PA,Philadelphia Office,4
2026,Q2,May,5,5/1/2026,NORTHEAST,Northeast Other,PA,Philadelphia Office,4
2026,Q2,June,6,6/1/2026,NORTHEAST,Northeast Other,PA,Philadelphia Office,4
2026,Q3,July,7,7/1/2026,NORTHEAST,Northeast Other,PA,Philadelphia Office,4
2026,Q3,August,8,8/1/2026,NORTHEAST,Northeast Other,PA,Philadelphia Office,4
2026,Q3,September,9,9/1/2026,NORTHEAST,Northeast Other,PA,Philadelphia Office,4
2026,Q4,October,10,10/1/2026,NORTHEAST,Northeast Other,PA,Philadelphia Office,4
2026,Q4,November,11,11/1/2026,NORTHEAST,Northeast Other,PA,Philadelphia Office,4
2026,Q4,December,12,12/1/2026,NORTHEAST,Northeast Other,PA,Philadelphia Office,4
2026,Q1,January,1,1/1/2026,DMV,DMV Other,MD,Baltimore Office,1
2026,Q1,February,2,2/1/2026,DMV,DMV Other,MD,Baltimore Office,1
2026,Q1,March,3,3/1/2026,DMV,DMV Other,MD,Baltimore Office,1
2026,Q2,April,4,4/1/2026,DMV,DMV Other,MD,Baltimore Office,1
2026,Q2,May,5,5/1/2026,DMV,DMV Other,MD,Baltimore Office,1
2026,Q2,June,6,6/1/2026,DMV,DMV Other,MD,Baltimore Office,1
2026,Q3,July,7,7/1/2026,DMV,DMV Other,MD,Baltimore Office,1
2026,Q3,August,8,8/1/2026,DMV,DMV Other,MD,Baltimore Office,1
2026,Q3,September,9,9/1/2026,DMV,DMV Other,MD,Baltimore Office,1
2026,Q4,October,10,10/1/2026,DMV,DMV Other,MD,Baltimore Office,1
2026,Q4,November,11,11/1/2026,DMV,DMV Other,MD,Baltimore Office,1
2026,Q4,December,12,12/1/2026,DMV,DMV Other,MD,Baltimore Office,1
2026,Q1,January,1,1/1/2026,DMV,DMV Other,DC,District of Columbia,1
2026,Q1,February,2,2/1/2026,DMV,DMV Other,DC,District of Columbia,1
2026,Q1,March,3,3/1/2026,DMV,DMV Other,DC,District of Columbia,1
2026,Q2,April,4,4/1/2026,DMV,DMV Other,DC,District of Columbia,1
2026,Q2,May,5,5/1/2026,DMV,DMV Other,DC,District of Columbia,1
2026,Q2,June,6,6/1/2026,DMV,DMV Other,DC,District of Columbia,1
2026,Q3,July,7,7/1/2026,DMV,DMV Other,DC,District of Columbia,1
2026,Q3,August,8,8/1/2026,DMV,DMV Other,DC,District of Columbia,1
2026,Q3,September,9,9/1/2026,DMV,DMV Other,DC,District of Columbia,1
2026,Q4,October,10,10/1/2026,DMV,DMV Other,DC,District of Columbia,1
2026,Q4,November,11,11/1/2026,DMV,DMV Other,DC,District of Columbia,1
2026,Q4,December,12,12/1/2026,DMV,DMV Other,DC,District of Columbia,1
2026,Q1,January,1,1/1/2026,DMV,DMV Other,WV,West Virginia-Statewide,1
2026,Q1,February,2,2/1/2026,DMV,DMV Other,WV,West Virginia-Statewide,1
2026,Q1,March,3,3/1/2026,DMV,DMV Other,WV,West Virginia-Statewide,1
2026,Q2,April,4,4/1/2026,DMV,DMV Other,WV,West Virginia-Statewide,1
2026,Q2,May,5,5/1/2026,DMV,DMV Other,WV,West Virginia-Statewide,1
2026,Q2,June,6,6/1/2026,DMV,DMV Other,WV,West Virginia-Statewide,1
2026,Q3,July,7,7/1/2026,DMV,DMV Other,WV,West Virginia-Statewide,1
2026,Q3,August,8,8/1/2026,DMV,DMV Other,WV,West Virginia-Statewide,1
2026,Q3,September,9,9/1/2026,DMV,DMV Other,WV,West Virginia-Statewide,1
2026,Q4,October,10,10/1/2026,DMV,DMV Other,WV,West Virginia-Statewide,1
2026,Q4,November,11,11/1/2026,DMV,DMV Other,WV,West Virginia-Statewide,1
2026,Q4,December,12,12/1/2026,DMV,DMV Other,WV,West Virginia-Statewide,1
2026,Q1,January,1,1/1/2026,MIDWEST 1,Midwest 1,IL,Chicago Office,2
2026,Q1,February,2,2/1/2026,MIDWEST 1,Midwest 1,IL,Chicago Office,2
2026,Q1,March,3,3/1/2026,MIDWEST 1,Midwest 1,IL,Chicago Office,2
2026,Q2,April,4,4/1/2026,MIDWEST 1,Midwest 1,IL,Chicago Office,2
2026,Q2,May,5,5/1/2026,MIDWEST 1,Midwest 1,IL,Chicago Office,2
2026,Q2,June,6,6/1/2026,MIDWEST 1,Midwest 1,IL,Chicago Office,2
2026,Q3,July,7,7/1/2026,MIDWEST 1,Midwest 1,IL,Chicago Office,2
2026,Q3,August,8,8/1/2026,MIDWEST 1,Midwest 1,IL,Chicago Office,2
2026,Q3,September,9,9/1/2026,MIDWEST 1,Midwest 1,IL,Chicago Office,2
2026,Q4,October,10,10/1/2026,MIDWEST 1,Midwest 1,IL,Chicago Office,2
2026,Q4,November,11,11/1/2026,MIDWEST 1,Midwest 1,IL,Chicago Office,2
2026,Q4,December,12,12/1/2026,MIDWEST 1,Midwest 1,IL,Chicago Office,2
2026,Q1,January,1,1/1/2026,MIDWEST 1,Midwest 1,MI,Detroit Office,2
2026,Q1,February,2,2/1/2026,MIDWEST 1,Midwest 1,MI,Detroit Office,2
2026,Q1,March,3,3/1/2026,MIDWEST 1,Midwest 1,MI,Detroit Office,2
2026,Q2,April,4,4/1/2026,MIDWEST 1,Midwest 1,MI,Detroit Office,2
2026,Q2,May,5,5/1/2026,MIDWEST 1,Midwest 1,MI,Detroit Office,2
2026,Q2,June,6,6/1/2026,MIDWEST 1,Midwest 1,MI,Detroit Office,2
2026,Q3,July,7,7/1/2026,MIDWEST 1,Midwest 1,MI,Detroit Office,2
2026,Q3,August,8,8/1/2026,MIDWEST 1,Midwest 1,MI,Detroit Office,2
2026,Q3,September,9,9/1/2026,MIDWEST 1,Midwest 1,MI,Detroit Office,2
2026,Q4,October,10,10/1/2026,MIDWEST 1,Midwest 1,MI,Detroit Office,2
2026,Q4,November,11,11/1/2026,MIDWEST 1,Midwest 1,MI,Detroit Office,2
2026,Q4,December,12,12/1/2026,MIDWEST 1,Midwest 1,MI,Detroit Office,2
2026,Q1,January,1,1/1/2026,MIDWEST 2,Midwest 2,ND,North Dakota-Statewide,3
2026,Q1,February,2,2/1/2026,MIDWEST 2,Midwest 2,ND,North Dakota-Statewide,3
2026,Q1,March,3,3/1/2026,MIDWEST 2,Midwest 2,ND,North Dakota-Statewide,3
2026,Q2,April,4,4/1/2026,MIDWEST 2,Midwest 2,ND,North Dakota-Statewide,3
2026,Q2,May,5,5/1/2026,MIDWEST 2,Midwest 2,ND,North Dakota-Statewide,3
2026,Q2,June,6,6/1/2026,MIDWEST 2,Midwest 2,ND,North Dakota-Statewide,3
2026,Q3,July,7,7/1/2026,MIDWEST 2,Midwest 2,ND,North Dakota-Statewide,3
2026,Q3,August,8,8/1/2026,MIDWEST 2,Midwest 2,ND,North Dakota-Statewide,3
2026,Q3,September,9,9/1/2026,MIDWEST 2,Midwest 2,ND,North Dakota-Statewide,3
2026,Q4,October,10,10/1/2026,MIDWEST 2,Midwest 2,ND,North Dakota-Statewide,3
2026,Q4,November,11,11/1/2026,MIDWEST 2,Midwest 2,ND,North Dakota-Statewide,3
2026,Q4,December,12,12/1/2026,MIDWEST 2,Midwest 2,ND,North Dakota-Statewide,3
2026,Q1,January,1,1/1/2026,MIDWEST 2,Midwest 2,SD,South Dakota-Statewide,3
2026,Q1,February,2,2/1/2026,MIDWEST 2,Midwest 2,SD,South Dakota-Statewide,3
2026,Q1,March,3,3/1/2026,MIDWEST 2,Midwest 2,SD,South Dakota-Statewide,3
2026,Q2,April,4,4/1/2026,MIDWEST 2,Midwest 2,SD,South Dakota-Statewide,3
2026,Q2,May,5,5/1/2026,MIDWEST 2,Midwest 2,SD,South Dakota-Statewide,3
2026,Q2,June,6,6/1/2026,MIDWEST 2,Midwest 2,SD,South Dakota-Statewide,3
2026,Q3,July,7,7/1/2026,MIDWEST 2,Midwest 2,SD,South Dakota-Statewide,3
2026,Q3,August,8,8/1/2026,MIDWEST 2,Midwest 2,SD,South Dakota-Statewide,3
2026,Q3,September,9,9/1/2026,MIDWEST 2,Midwest 2,SD,South Dakota-Statewide,3
2026,Q4,October,10,10/1/2026,MIDWEST 2,Midwest 2,SD,South Dakota-Statewide,3
2026,Q4,November,11,11/1/2026,MIDWEST 2,Midwest 2,SD,South Dakota-Statewide,3
2026,Q4,December,12,12/1/2026,MIDWEST 2,Midwest 2,SD,South Dakota-Statewide,3
2026,Q1,January,1,1/1/2026,MIDWEST 2,Midwest 2,NE,Nebraska-Statewide,3
2026,Q1,February,2,2/1/2026,MIDWEST 2,Midwest 2,NE,Nebraska-Statewide,3
2026,Q1,March,3,3/1/2026,MIDWEST 2,Midwest 2,NE,Nebraska-Statewide,3
2026,Q2,April,4,4/1/2026,MIDWEST 2,Midwest 2,NE,Nebraska-Statewide,3
2026,Q2,May,5,5/1/2026,MIDWEST 2,Midwest 2,NE,Nebraska-Statewide,3
2026,Q2,June,6,6/1/2026,MIDWEST 2,Midwest 2,NE,Nebraska-Statewide,3
2026,Q3,July,7,7/1/2026,MIDWEST 2,Midwest 2,NE,Nebraska-Statewide,3
2026,Q3,August,8,8/1/2026,MIDWEST 2,Midwest 2,NE,Nebraska-Statewide,3
2026,Q3,September,9,9/1/2026,MIDWEST 2,Midwest 2,NE,Nebraska-Statewide,3
2026,Q4,October,10,10/1/2026,MIDWEST 2,Midwest 2,NE,Nebraska-Statewide,3
2026,Q4,November,11,11/1/2026,MIDWEST 2,Midwest 2,NE,Nebraska-Statewide,3
2026,Q4,December,12,12/1/2026,MIDWEST 2,Midwest 2,NE,Nebraska-Statewide,3
2026,Q1,January,1,1/1/2026,MIDWEST 2,Midwest 2,MN,Minneapolis Office,3
2026,Q1,February,2,2/1/2026,MIDWEST 2,Midwest 2,MN,Minneapolis Office,3
2026,Q1,March,3,3/1/2026,MIDWEST 2,Midwest 2,MN,Minneapolis Office,3
2026,Q2,April,4,4/1/2026,MIDWEST 2,Midwest 2,MN,Minneapolis Office,3
2026,Q2,May,5,5/1/2026,MIDWEST 2,Midwest 2,MN,Minneapolis Office,3
2026,Q2,June,6,6/1/2026,MIDWEST 2,Midwest 2,MN,Minneapolis Office,3
2026,Q3,July,7,7/1/2026,MIDWEST 2,Midwest 2,MN,Minneapolis Office,3
2026,Q3,August,8,8/1/2026,MIDWEST 2,Midwest 2,MN,Minneapolis Office,3
2026,Q3,September,9,9/1/2026,MIDWEST 2,Midwest 2,MN,Minneapolis Office,3
2026,Q4,October,10,10/1/2026,MIDWEST 2,Midwest 2,MN,Minneapolis Office,3
2026,Q4,November,11,11/1/2026,MIDWEST 2,Midwest 2,MN,Minneapolis Office,3
2026,Q4,December,12,12/1/2026,MIDWEST 2,Midwest 2,MN,Minneapolis Office,3
2026,Q1,January,1,1/1/2026,MIDWEST 2,Midwest 2,IA,Cedar Rapids Office,3
2026,Q1,February,2,2/1/2026,MIDWEST 2,Midwest 2,IA,Cedar Rapids Office,3
2026,Q1,March,3,3/1/2026,MIDWEST 2,Midwest 2,IA,Cedar Rapids Office,3
2026,Q2,April,4,4/1/2026,MIDWEST 2,Midwest 2,IA,Cedar Rapids Office,3
2026,Q2,May,5,5/1/2026,MIDWEST 2,Midwest 2,IA,Cedar Rapids Office,3
2026,Q2,June,6,6/1/2026,MIDWEST 2,Midwest 2,IA,Cedar Rapids Office,3
2026,Q3,July,7,7/1/2026,MIDWEST 2,Midwest 2,IA,Cedar Rapids Office,3
2026,Q3,August,8,8/1/2026,MIDWEST 2,Midwest 2,IA,Cedar Rapids Office,3
2026,Q3,September,9,9/1/2026,MIDWEST 2,Midwest 2,IA,Cedar Rapids Office,3
2026,Q4,October,10,10/1/2026,MIDWEST 2,Midwest 2,IA,Cedar Rapids Office,3
2026,Q4,November,11,11/1/2026,MIDWEST 2,Midwest 2,IA,Cedar Rapids Office,3
2026,Q4,December,12,12/1/2026,MIDWEST 2,Midwest 2,IA,Cedar Rapids Office,3
2026,Q1,January,1,1/1/2026,MIDWEST 2,Midwest 2,WI,Wisconsin-Statewide,3
2026,Q1,February,2,2/1/2026,MIDWEST 2,Midwest 2,WI,Wisconsin-Statewide,3
2026,Q1,March,3,3/1/2026,MIDWEST 2,Midwest 2,WI,Wisconsin-Statewide,3
2026,Q2,April,4,4/1/2026,MIDWEST 2,Midwest 2,WI,Wisconsin-Statewide,3
2026,Q2,May,5,5/1/2026,MIDWEST 2,Midwest 2,WI,Wisconsin-Statewide,3
2026,Q2,June,6,6/1/2026,MIDWEST 2,Midwest 2,WI,Wisconsin-Statewide,3
2026,Q3,July,7,7/1/2026,MIDWEST 2,Midwest 2,WI,Wisconsin-Statewide,3
2026,Q3,August,8,8/1/2026,MIDWEST 2,Midwest 2,WI,Wisconsin-Statewide,3
2026,Q3,September,9,9/1/2026,MIDWEST 2,Midwest 2,WI,Wisconsin-Statewide,3
2026,Q4,October,10,10/1/2026,MIDWEST 2,Midwest 2,WI,Wisconsin-Statewide,3
2026,Q4,November,11,11/1/2026,MIDWEST 2,Midwest 2,WI,Wisconsin-Statewide,3
2026,Q4,December,12,12/1/2026,MIDWEST 2,Midwest 2,WI,Wisconsin-Statewide,3
2026,Q1,January,1,1/1/2026,MIDWEST 2,Midwest 2,IN,Indianapolis Office,3
2026,Q1,February,2,2/1/2026,MIDWEST 2,Midwest 2,IN,Indianapolis Office,3
2026,Q1,March,3,3/1/2026,MIDWEST 2,Midwest 2,IN,Indianapolis Office,3
2026,Q2,April,4,4/1/2026,MIDWEST 2,Midwest 2,IN,Indianapolis Office,3
2026,Q2,May,5,5/1/2026,MIDWEST 2,Midwest 2,IN,Indianapolis Office,3
2026,Q2,June,6,6/1/2026,MIDWEST 2,Midwest 2,IN,Indianapolis Office,3
2026,Q3,July,7,7/1/2026,MIDWEST 2,Midwest 2,IN,Indianapolis Office,3
2026,Q3,August,8,8/1/2026,MIDWEST 2,Midwest 2,IN,Indianapolis Office,3
2026,Q3,September,9,9/1/2026,MIDWEST 2,Midwest 2,IN,Indianapolis Office,3
2026,Q4,October,10,10/1/2026,MIDWEST 2,Midwest 2,IN,Indianapolis Office,3
2026,Q4,November,11,11/1/2026,MIDWEST 2,Midwest 2,IN,Indianapolis Office,3
2026,Q4,December,12,12/1/2026,MIDWEST 2,Midwest 2,IN,Indianapolis Office,3
2026,Q1,January,1,1/1/2026,MIDWEST 2,Midwest 2,OH,Ohio-Statewide,3
2026,Q1,February,2,2/1/2026,MIDWEST 2,Midwest 2,OH,Ohio-Statewide,3
2026,Q1,March,3,3/1/2026,MIDWEST 2,Midwest 2,OH,Ohio-Statewide,3
2026,Q2,April,4,4/1/2026,MIDWEST 2,Midwest 2,OH,Ohio-Statewide,3
2026,Q2,May,5,5/1/2026,MIDWEST 2,Midwest 2,OH,Ohio-Statewide,3
2026,Q2,June,6,6/1/2026,MIDWEST 2,Midwest 2,OH,Ohio-Statewide,3
2026,Q3,July,7,7/1/2026,MIDWEST 2,Midwest 2,OH,Ohio-Statewide,3
2026,Q3,August,8,8/1/2026,MIDWEST 2,Midwest 2,OH,Ohio-Statewide,3
2026,Q3,September,9,9/1/2026,MIDWEST 2,Midwest 2,OH,Ohio-Statewide,3
2026,Q4,October,10,10/1/2026,MIDWEST 2,Midwest 2,OH,Ohio-Statewide,3
2026,Q4,November,11,11/1/2026,MIDWEST 2,Midwest 2,OH,Ohio-Statewide,3
2026,Q4,December,12,12/1/2026,MIDWEST 2,Midwest 2,OH,Ohio-Statewide,3
2026,Q1,January,1,1/1/2026,MIDWEST 2,Midwest 2,KY,Kentucky-Statewide,3
2026,Q1,February,2,2/1/2026,MIDWEST 2,Midwest 2,KY,Kentucky-Statewide,3
2026,Q1,March,3,3/1/2026,MIDWEST 2,Midwest 2,KY,Kentucky-Statewide,3
2026,Q2,April,4,4/1/2026,MIDWEST 2,Midwest 2,KY,Kentucky-Statewide,3
2026,Q2,May,5,5/1/2026,MIDWEST 2,Midwest 2,KY,Kentucky-Statewide,3
2026,Q2,June,6,6/1/2026,MIDWEST 2,Midwest 2,KY,Kentucky-Statewide,3
2026,Q3,July,7,7/1/2026,MIDWEST 2,Midwest 2,KY,Kentucky-Statewide,3
2026,Q3,August,8,8/1/2026,MIDWEST 2,Midwest 2,KY,Kentucky-Statewide,3
2026,Q3,September,9,9/1/2026,MIDWEST 2,Midwest 2,KY,Kentucky-Statewide,3
2026,Q4,October,10,10/1/2026,MIDWEST 2,Midwest 2,KY,Kentucky-Statewide,3
2026,Q4,November,11,11/1/2026,MIDWEST 2,Midwest 2,KY,Kentucky-Statewide,3
2026,Q4,December,12,12/1/2026,MIDWEST 2,Midwest 2,KY,Kentucky-Statewide,3
2026,Q1,January,1,1/1/2026,SOUTHEAST,Southeast Other,TN,Memphis Office,6
2026,Q1,February,2,2/1/2026,SOUTHEAST,Southeast Other,TN,Memphis Office,6
2026,Q1,March,3,3/1/2026,SOUTHEAST,Southeast Other,TN,Memphis Office,6
2026,Q2,April,4,4/1/2026,SOUTHEAST,Southeast Other,TN,Memphis Office,6
2026,Q2,May,5,5/1/2026,SOUTHEAST,Southeast Other,TN,Memphis Office,6
2026,Q2,June,6,6/1/2026,SOUTHEAST,Southeast Other,TN,Memphis Office,6
2026,Q3,July,7,7/1/2026,SOUTHEAST,Southeast Other,TN,Memphis Office,6
2026,Q3,August,8,8/1/2026,SOUTHEAST,Southeast Other,TN,Memphis Office,6
2026,Q3,September,9,9/1/2026,SOUTHEAST,Southeast Other,TN,Memphis Office,6
2026,Q4,October,10,10/1/2026,SOUTHEAST,Southeast Other,TN,Memphis Office,6
